timestamp_ms,VOC_raw,VOC_voltage,raw_ch0,raw_ch1,raw_ch2,raw_ch3,raw_ch4,raw_ch5,raw_ch6,raw_ch7,raw_ch8,raw_ch9,raw_ch10,raw_ch11,reflect_ch0,reflect_ch1,reflect_ch2,reflect_ch3,reflect_ch4,reflect_ch5,reflect_ch6,reflect_ch7,reflect_ch8,reflect_ch9,reflect_ch10,reflect_ch11,absorb_ch0,absorb_ch1,absorb_ch2,absorb_ch3,absorb_ch4,absorb_ch5,absorb_ch6,absorb_ch7,absorb_ch8,absorb_ch9,absorb_ch10,absorb_ch11,CFU_value,label
83140,0,0,0,0,0,0,9,0,0,6,28,1,9,0,nan,nan,nan,nan,1,nan,nan,1.2,1.037,1,1,nan,nan,nan,nan,nan,0,nan,nan,-0.079,-0.016,0,0,nan,500,Spoiled
84209,0,0,0,1,0,0,9,0,0,6,28,1,9,0,nan,inf,nan,nan,1,nan,nan,1.2,1.037,1,1,nan,nan,inf,nan,nan,0,nan,nan,-0.079,-0.016,0,0,nan,500,Spoiled
85278,0,0,0,1,0,0,9,0,0,6,28,2,9,0,nan,inf,nan,nan,1,nan,nan,1.2,1.037,2,1,nan,nan,inf,nan,nan,0,nan,nan,-0.079,-0.016,-0.301,0,nan,500,Spoiled
86347,0,0,0,0,0,0,9,0,0,6,28,1,9,0,nan,nan,nan,nan,1,nan,nan,1.2,1.037,1,1,nan,nan,nan,nan,nan,0,nan,nan,-0.079,-0.016,0,0,nan,500,Spoiled
87416,0,0,0,0,0,0,9,0,0,6,28,2,9,0,nan,nan,nan,nan,1,nan,nan,1.2,1.037,2,1,nan,nan,nan,nan,nan,0,nan,nan,-0.079,-0.016,-0.301,0,nan,500,Spoiled
88486,0,0,0,0,0,0,9,0,0,6,29,1,9,0,nan,nan,nan,nan,1,nan,nan,1.2,1.074,1,1,nan,nan,nan,nan,nan,0,nan,nan,-0.079,-0.031,0,0,nan,500,Spoiled
89555,0,0,0,0,0,0,9,0,0,6,29,1,9,0,nan,nan,nan,nan,1,nan,nan,1.2,1.074,1,1,nan,nan,nan,nan,nan,0,nan,nan,-0.079,-0.031,0,0,nan,500,Spoiled
90623,0,0,0,0,0,0,9,0,0,5,29,1,9,0,nan,nan,nan,nan,1,nan,nan,1,1.074,1,1,nan,nan,nan,nan,nan,0,nan,nan,0,-0.031,0,0,nan,500,Spoiled
91691,0,0,0,0,0,0,9,0,0,6,29,1,9,0,nan,nan,nan,nan,1,nan,nan,1.2,1.074,1,1,nan,nan,nan,nan,nan,0,nan,nan,-0.079,-0.031,0,0,nan,500,Spoiled
92760,0,0,0,0,0,0,9,0,0,6,29,2,9,0,nan,nan,nan,nan,1,nan,nan,1.2,1.074,2,1,nan,nan,nan,nan,nan,0,nan,nan,-0.079,-0.031,-0.301,0,nan,500,Spoiled
93829,0,0,0,0,0,0,9,0,0,6,29,2,9,0,nan,nan,nan,nan,1,nan,nan,1.2,1.074,2,1,nan,nan,nan,nan,nan,0,nan,nan,-0.079,-0.031,-0.301,0,nan,500,Spoiled
94898,0,0,0,0,0,0,9,0,0,5,29,2,9,0,nan,nan,nan,nan,1,nan,nan,1,1.074,2,1,nan,nan,nan,nan,nan,0,nan,nan,0,-0.031,-0.301,0,nan,500,Spoiled
95967,0,0,0,0,0,0,9,0,0,6,29,2,9,0,nan,nan,nan,nan,1,nan,nan,1.2,1.074,2,1,nan,nan,nan,nan,nan,0,nan,nan,-0.079,-0.031,-0.301,0,nan,500,Spoiled
97037,0,0,0,0,0,0,9,0,0,6,29,1,9,0,nan,nan,nan,nan,1,nan,nan,1.2,1.074,1,1,nan,nan,nan,nan,nan,0,nan,nan,-0.079,-0.031,0,0,nan,500,Spoiled
98106,0,0,0,0,0,0,9,0,0,6,29,1,9,0,nan,nan,nan,nan,1,nan,nan,1.2,1.074,1,1,nan,nan,nan,nan,nan,0,nan,nan,-0.079,-0.031,0,0,nan,500,Spoiled
99175,0,0,0,0,0,0,9,0,0,5,29,2,9,0,nan,nan,nan,nan,1,nan,nan,1,1.074,2,1,nan,nan,nan,nan,nan,0,nan,nan,0,-0.031,-0.301,0,nan,500,Spoiled
100244,0,0,0,1,0,0,9,0,0,6,29,1,9,0,nan,inf,nan,nan,1,nan,nan,1.2,1.074,1,1,nan,nan,inf,nan,nan,0,nan,nan,-0.079,-0.031,0,0,nan,500,Spoiled
101314,0,0,0,1,0,0,9,0,0,6,29,1,9,0,nan,inf,nan,nan,1,nan,nan,1.2,1.074,1,1,nan,nan,inf,nan,nan,0,nan,nan,-0.079,-0.031,0,0,nan,500,Spoiled
102382,0,0,0,0,0,0,9,0,0,6,29,1,9,0,nan,nan,nan,nan,1,nan,nan,1.2,1.074,1,1,nan,nan,nan,nan,nan,0,nan,nan,-0.079,-0.031,0,0,nan,500,Spoiled
103450,0,0,0,0,0,0,9,0,0,6,29,2,9,0,nan,nan,nan,nan,1,nan,nan,1.2,1.074,2,1,nan,nan,nan,nan,nan,0,nan,nan,-0.079,-0.031,-0.301,0,nan,500,Spoiled
104518,0,0,0,0,0,0,9,0,0,6,29,2,9,0,nan,nan,nan,nan,1,nan,nan,1.2,1.074,2,1,nan,nan,nan,nan,nan,0,nan,nan,-0.079,-0.031,-0.301,0,nan,500,Spoiled
105587,0,0,0,0,0,0,9,0,0,6,29,2,9,0,nan,nan,nan,nan,1,nan,nan,1.2,1.074,2,1,nan,nan,nan,nan,nan,0,nan,nan,-0.079,-0.031,-0.301,0,nan,500,Spoiled
106657,0,0,1,1,0,0,9,0,1,6,30,1,9,0,inf,inf,nan,nan,1,nan,inf,1.2,1.111,1,1,nan,inf,inf,nan,nan,0,nan,inf,-0.079,-0.046,0,0,nan,500,Spoiled
107726,0,0,0,0,0,0,9,0,0,6,30,2,9,0,nan,nan,nan,nan,1,nan,nan,1.2,1.111,2,1,nan,nan,nan,nan,nan,0,nan,nan,-0.079,-0.046,-0.301,0,nan,500,Spoiled
108795,0,0,0,1,0,0,9,0,0,6,30,2,9,0,nan,inf,nan,nan,1,nan,nan,1.2,1.111,2,1,nan,nan,inf,nan,nan,0,nan,nan,-0.079,-0.046,-0.301,0,nan,500,Spoiled
109864,0,0,0,1,0,0,9,0,0,6,30,2,9,0,nan,inf,nan,nan,1,nan,nan,1.2,1.111,2,1,nan,nan,inf,nan,nan,0,nan,nan,-0.079,-0.046,-0.301,0,nan,500,Spoiled
110934,0,0,0,0,0,0,9,0,0,6,30,2,9,0,nan,nan,nan,nan,1,nan,nan,1.2,1.111,2,1,nan,nan,nan,nan,nan,0,nan,nan,-0.079,-0.046,-0.301,0,nan,500,Spoiled
112002,0,0,0,0,0,0,9,0,0,6,30,1,9,0,nan,nan,nan,nan,1,nan,nan,1.2,1.111,1,1,nan,nan,nan,nan,nan,0,nan,nan,-0.079,-0.046,0,0,nan,500,Spoiled
113071,0,0,0,0,0,0,9,0,0,6,30,2,9,0,nan,nan,nan,nan,1,nan,nan,1.2,1.111,2,1,nan,nan,nan,nan,nan,0,nan,nan,-0.079,-0.046,-0.301,0,nan,500,Spoiled
114139,0,0,0,0,0,0,9,0,0,6,30,2,9,0,nan,nan,nan,nan,1,nan,nan,1.2,1.111,2,1,nan,nan,nan,nan,nan,0,nan,nan,-0.079,-0.046,-0.301,0,nan,500,Spoiled
115208,0,0,0,0,0,0,9,0,0,6,30,2,10,0,nan,nan,nan,nan,1,nan,nan,1.2,1.111,2,1.111,nan,nan,nan,nan,nan,0,nan,nan,-0.079,-0.046,-0.301,-0.046,nan,500,Spoiled
116278,0,0,0,1,0,0,9,0,0,6,30,2,9,0,nan,inf,nan,nan,1,nan,nan,1.2,1.111,2,1,nan,nan,inf,nan,nan,0,nan,nan,-0.079,-0.046,-0.301,0,nan,500,Spoiled
117348,0,0,0,0,0,0,9,0,0,6,30,1,9,0,nan,nan,nan,nan,1,nan,nan,1.2,1.111,1,1,nan,nan,nan,nan,nan,0,nan,nan,-0.079,-0.046,0,0,nan,500,Spoiled
118416,0,0,0,0,0,0,9,0,0,6,30,2,9,0,nan,nan,nan,nan,1,nan,nan,1.2,1.111,2,1,nan,nan,nan,nan,nan,0,nan,nan,-0.079,-0.046,-0.301,0,nan,500,Spoiled
119486,0,0,0,0,0,0,9,0,0,6,30,1,9,0,nan,nan,nan,nan,1,nan,nan,1.2,1.111,1,1,nan,nan,nan,nan,nan,0,nan,nan,-0.079,-0.046,0,0,nan,500,Spoiled
120556,0,0,0,1,0,0,10,0,0,6,30,1,9,0,nan,inf,nan,nan,1.111,nan,nan,1.2,1.111,1,1,nan,nan,inf,nan,nan,-0.046,nan,nan,-0.079,-0.046,0,0,nan,500,Spoiled
121625,0,0,0,0,0,0,10,0,0,6,30,2,10,0,nan,nan,nan,nan,1.111,nan,nan,1.2,1.111,2,1.111,nan,nan,nan,nan,nan,-0.046,nan,nan,-0.079,-0.046,-0.301,-0.046,nan,500,Spoiled
122695,0,0,0,0,0,0,10,2,0,6,30,2,10,0,nan,nan,nan,nan,1.111,inf,nan,1.2,1.111,2,1.111,nan,nan,nan,nan,nan,-0.046,inf,nan,-0.079,-0.046,-0.301,-0.046,nan,500,Spoiled
123765,0,0,0,0,0,0,10,0,0,6,30,1,10,0,nan,nan,nan,nan,1.111,nan,nan,1.2,1.111,1,1.111,nan,nan,nan,nan,nan,-0.046,nan,nan,-0.079,-0.046,0,-0.046,nan,500,Spoiled
124835,0,0,0,0,0,0,10,0,0,6,30,2,10,0,nan,nan,nan,nan,1.111,nan,nan,1.2,1.111,2,1.111,nan,nan,nan,nan,nan,-0.046,nan,nan,-0.079,-0.046,-0.301,-0.046,nan,500,Spoiled
125905,0,0,0,0,0,0,10,0,0,6,30,1,10,0,nan,nan,nan,nan,1.111,nan,nan,1.2,1.111,1,1.111,nan,nan,nan,nan,nan,-0.046,nan,nan,-0.079,-0.046,0,-0.046,nan,500,Spoiled
126974,0,0,0,0,0,0,10,0,0,6,30,1,10,0,nan,nan,nan,nan,1.111,nan,nan,1.2,1.111,1,1.111,nan,nan,nan,nan,nan,-0.046,nan,nan,-0.079,-0.046,0,-0.046,nan,500,Spoiled
128043,0,0,0,0,0,0,10,0,0,6,30,2,10,0,nan,nan,nan,nan,1.111,nan,nan,1.2,1.111,2,1.111,nan,nan,nan,nan,nan,-0.046,nan,nan,-0.079,-0.046,-0.301,-0.046,nan,500,Spoiled
129113,0,0,0,0,0,0,10,0,0,6,30,1,10,0,nan,nan,nan,nan,1.111,nan,nan,1.2,1.111,1,1.111,nan,nan,nan,nan,nan,-0.046,nan,nan,-0.079,-0.046,0,-0.046,nan,500,Spoiled
130183,0,0,0,0,0,0,10,0,0,6,31,2,10,0,nan,nan,nan,nan,1.111,nan,nan,1.2,1.148,2,1.111,nan,nan,nan,nan,nan,-0.046,nan,nan,-0.079,-0.06,-0.301,-0.046,nan,500,Spoiled
131252,0,0,0,0,0,0,10,0,0,5,31,2,10,0,nan,nan,nan,nan,1.111,nan,nan,1,1.148,2,1.111,nan,nan,nan,nan,nan,-0.046,nan,nan,0,-0.06,-0.301,-0.046,nan,500,Spoiled
132321,0,0,0,0,0,0,10,0,0,6,31,1,10,0,nan,nan,nan,nan,1.111,nan,nan,1.2,1.148,1,1.111,nan,nan,nan,nan,nan,-0.046,nan,nan,-0.079,-0.06,0,-0.046,nan,500,Spoiled
133391,0,0,0,0,0,0,10,0,0,6,31,2,10,0,nan,nan,nan,nan,1.111,nan,nan,1.2,1.148,2,1.111,nan,nan,nan,nan,nan,-0.046,nan,nan,-0.079,-0.06,-0.301,-0.046,nan,500,Spoiled
134461,0,0,0,0,0,0,9,0,0,6,31,2,10,0,nan,nan,nan,nan,1,nan,nan,1.2,1.148,2,1.111,nan,nan,nan,nan,nan,0,nan,nan,-0.079,-0.06,-0.301,-0.046,nan,500,Spoiled
135530,0,0,0,1,0,0,10,0,0,6,31,1,10,0,nan,inf,nan,nan,1.111,nan,nan,1.2,1.148,1,1.111,nan,nan,inf,nan,nan,-0.046,nan,nan,-0.079,-0.06,0,-0.046,nan,500,Spoiled
136600,0,0,0,0,0,0,10,0,0,6,31,2,10,0,nan,nan,nan,nan,1.111,nan,nan,1.2,1.148,2,1.111,nan,nan,nan,nan,nan,-0.046,nan,nan,-0.079,-0.06,-0.301,-0.046,nan,500,Spoiled
137670,0,0,0,0,0,0,10,0,0,6,31,2,10,0,nan,nan,nan,nan,1.111,nan,nan,1.2,1.148,2,1.111,nan,nan,nan,nan,nan,-0.046,nan,nan,-0.079,-0.06,-0.301,-0.046,nan,500,Spoiled
138739,0,0,0,0,0,0,10,0,0,6,30,1,10,0,nan,nan,nan,nan,1.111,nan,nan,1.2,1.111,1,1.111,nan,nan,nan,nan,nan,-0.046,nan,nan,-0.079,-0.046,0,-0.046,nan,500,Spoiled
139809,0,0,1,0,0,0,9,0,0,6,31,2,10,0,inf,nan,nan,nan,1,nan,nan,1.2,1.148,2,1.111,nan,inf,nan,nan,nan,0,nan,nan,-0.079,-0.06,-0.301,-0.046,nan,500,Spoiled
140879,0,0,0,0,0,0,10,0,0,6,31,2,10,0,nan,nan,nan,nan,1.111,nan,nan,1.2,1.148,2,1.111,nan,nan,nan,nan,nan,-0.046,nan,nan,-0.079,-0.06,-0.301,-0.046,nan,500,Spoiled
141948,0,0,0,0,0,0,10,0,0,6,31,2,10,0,nan,nan,nan,nan,1.111,nan,nan,1.2,1.148,2,1.111,nan,nan,nan,nan,nan,-0.046,nan,nan,-0.079,-0.06,-0.301,-0.046,nan,500,Spoiled
143018,0,0,1,0,0,0,9,0,0,6,31,2,10,0,inf,nan,nan,nan,1,nan,nan,1.2,1.148,2,1.111,nan,inf,nan,nan,nan,0,nan,nan,-0.079,-0.06,-0.301,-0.046,nan,500,Spoiled
144087,0,0,0,0,0,0,10,0,0,6,31,2,10,0,nan,nan,nan,nan,1.111,nan,nan,1.2,1.148,2,1.111,nan,nan,nan,nan,nan,-0.046,nan,nan,-0.079,-0.06,-0.301,-0.046,nan,500,Spoiled
145155,0,0,0,0,0,0,10,0,0,6,30,2,10,0,nan,nan,nan,nan,1.111,nan,nan,1.2,1.111,2,1.111,nan,nan,nan,nan,nan,-0.046,nan,nan,-0.079,-0.046,-0.301,-0.046,nan,500,Spoiled
